t_s,waypoint_idx,J1_cmd_deg,J1_act_deg,J1_err_deg,J2_cmd_deg,J2_act_deg,J2_err_deg,J3_cmd_deg,J3_act_deg,J3_err_deg,J4_cmd_deg,J4_act_deg,J4_err_deg,J5_cmd_deg,J5_act_deg,J5_err_deg,J6_cmd_deg,J6_act_deg,J6_err_deg,max_abs_err_deg,over_threshold
0.000,0,6.332,6.300,-0.032,91.235,91.200,-0.035,-3.214,-3.200,+0.014,1.519,1.500,-0.019,-0.221,-0.200,+0.021,12.050,12.000,-0.050,0.050,0
0.412,2,9.002,6.500,-2.502,91.927,91.300,-0.627,-4.780,-3.400,+1.380,1.656,1.500,-0.156,-0.395,-0.200,+0.195,12.050,12.100,+0.050,2.502,0
0.823,4,22.547,10.500,-12.047,95.682,92.400,-3.282,-12.860,-5.700,+7.160,1.165,1.500,+0.335,-0.805,-0.400,+0.405,12.050,12.000,-0.050,12.047,1
1.236,6,32.908,17.900,-15.008,99.291,94.500,-4.791,-20.426,-10.300,+10.126,-0.706,1.100,+1.806,-0.188,-0.500,-0.312,12.050,12.000,-0.050,15.008,1
1.648,8,40.185,26.300,-13.885,102.477,97.300,-5.177,-27.450,-16.200,+11.250,-3.136,-0.100,+3.036,0.980,-0.200,-1.180,12.050,12.100,+0.050,13.885,1
2.061,10,45.235,33.900,-11.335,105.145,100.200,-4.945,-34.080,-22.800,+11.280,-5.813,-2.000,+3.813,2.322,0.500,-1.822,12.050,12.000,-0.050,11.335,1
2.472,12,48.766,40.100,-8.666,107.184,103.000,-4.184,-40.355,-29.300,+11.055,-8.561,-4.300,+4.261,3.671,1.600,-2.071,12.050,12.000,-0.050,11.055,1
2.883,14,51.280,44.900,-6.380,108.461,105.300,-3.161,-46.254,-35.700,+10.554,-11.243,-6.800,+4.443,4.954,2.800,-2.154,12.050,12.000,-0.050,10.554,1
3.293,16,53.002,48.500,-4.502,108.823,107.000,-1.823,-51.357,-41.700,+9.657,-13.575,-9.400,+4.175,6.051,4.100,-1.951,12.050,12.100,+0.050,9.657,1
3.707,18,54.179,51.000,-3.179,108.349,107.900,-0.449,-55.484,-47.200,+8.284,-15.414,-11.800,+3.614,6.912,5.200,-1.712,12.050,12.100,+0.050,8.284,1
4.119,20,55.037,52.800,-2.237,107.161,108.000,+0.839,-58.821,-51.900,+6.921,-16.819,-13.800,+3.019,7.576,6.200,-1.376,12.050,12.000,-0.050,6.921,1
4.530,22,55.694,54.100,-1.594,105.340,107.400,+2.060,-61.470,-55.800,+5.670,-17.825,-15.500,+2.325,8.064,7.000,-1.064,12.050,12.000,-0.050,5.670,1
4.943,24,56.215,54.900,-1.315,102.939,106.100,+3.161,-63.483,-59.000,+4.483,-18.457,-16.800,+1.657,8.392,7.600,-0.792,12.050,12.000,-0.050,4.483,0
5.355,26,56.639,55.700,-0.939,100.003,104.100,+4.097,-64.890,-61.500,+3.390,-18.732,-17.700,+1.032,8.567,8.000,-0.567,12.050,12.000,-0.050,4.097,0
5.766,28,56.986,56.200,-0.786,96.643,101.600,+4.957,-65.692,-63.400,+2.292,-18.668,-18.200,+0.468,8.598,8.300,-0.298,12.050,12.000,-0.050,4.957,0
6.176,30,57.244,56.700,-0.544,93.388,98.700,+5.312,-65.925,-64.600,+1.325,-18.357,-18.400,-0.043,8.516,8.500,-0.016,12.050,12.100,+0.050,5.312,1
6.588,32,57.431,57.000,-0.431,90.495,95.600,+5.105,-65.797,-65.300,+0.497,-17.932,-18.400,-0.468,8.377,8.500,+0.123,12.050,12.100,+0.050,5.105,1
7.001,34,57.564,57.300,-0.264,88.107,92.700,+4.593,-65.496,-65.500,-0.004,-17.500,-18.100,-0.600,8.224,8.400,+0.176,12.050,12.100,+0.050,4.593,0
7.411,36,57.654,57.400,-0.254,86.331,90.100,+3.769,-65.171,-65.500,-0.329,-17.136,-17.800,-0.664,8.092,8.300,+0.208,12.050,12.100,+0.050,3.769,0
7.824,38,57.705,57.500,-0.205,85.238,88.000,+2.762,-64.932,-65.300,-0.368,-16.897,-17.400,-0.503,8.003,8.200,+0.197,12.050,12.100,+0.050,2.762,0
8.736,39,57.722,57.700,-0.022,84.869,85.500,+0.631,-64.845,-65.000,-0.155,-16.814,-16.900,-0.086,7.972,8.000,+0.028,12.050,12.100,+0.050,0.631,0
